"continent","country","countrycode","parent_company","plastic_type","n_pieces"
"Amerika","Argentinien","AR","Rinde Dos","ps",0
"Amerika","Argentinien","AR","Rinde Dos","pvc",0
"Amerika","Argentinien","AR","Rockstar","hdpe",0
"Amerika","Argentinien","AR","Rockstar","ldpe",0
"Amerika","Argentinien","AR","Rockstar","o",1
"Amerika","Argentinien","AR","Rockstar","pet",0
"Amerika","Argentinien","AR","Rockstar","pp",0
"Amerika","Argentinien","AR","Rockstar","ps",0
"Amerika","Argentinien","AR","Rockstar","pvc",0
"Amerika","Argentinien","AR","Dunox","hdpe",1
"Amerika","Argentinien","AR","Dunox","ldpe",0
"Amerika","Argentinien","AR","Dunox","o",0
"Amerika","Argentinien","AR","Dunox","pet",0
"Amerika","Argentinien","AR","Dunox","pp",0
"Amerika","Argentinien","AR","Dunox","ps",0
"Amerika","Argentinien","AR","Dunox","pvc",0
"Amerika","Argentinien","AR","San Cayetano","hdpe",0
"Amerika","Argentinien","AR","San Cayetano","ldpe",0
"Amerika","Argentinien","AR","San Cayetano","o",0
"Amerika","Argentinien","AR","San Cayetano","pet",0
"Amerika","Argentinien","AR","San Cayetano","pp",1
"Amerika","Argentinien","AR","San Cayetano","ps",0
"Amerika","Argentinien","AR","San Cayetano","pvc",0
"Amerika","Argentinien","AR","Saladix - Arcor","hdpe",0
"Amerika","Argentinien","AR","Saladix - Arcor","ldpe",0
"Amerika","Argentinien","AR","Saladix - Arcor","o",0
"Amerika","Argentinien","AR","Saladix - Arcor","pet",0
"Amerika","Argentinien","AR","Saladix - Arcor","pp",1
"Amerika","Argentinien","AR","Saladix - Arcor","ps",0
"Amerika","Argentinien","AR","Saladix - Arcor","pvc",0
"Amerika","Argentinien","AR","Recreo","hdpe",0
"Amerika","Argentinien","AR","Recreo","ldpe",0
"Amerika","Argentinien","AR","Recreo","o",0
"Amerika","Argentinien","AR","Recreo","pet",0
"Amerika","Argentinien","AR","Recreo","pp",1
"Amerika","Argentinien","AR","Recreo","ps",0
