"country","year","parent_company","empty","hdpe","ldpe","o","pet","pp","ps","pvc","grand_total","num_events","volunteers","continent","countrycode"
"Argentinien",2019,"amodil",0,0,0,0,0,0,0,0,0,4,243,"Amerika","AR"
"Argentinien",2019,"Desconocida",0,0,0,0,0,0,0,0,0,4,243,"Amerika","AR"
"Argentinien",2019,"Eco de los andes",0,0,0,0,0,0,0,0,0,4,243,"Amerika","AR"
"Argentinien",2019,"Emery",0,0,0,0,0,0,0,0,0,4,243,"Amerika","AR"
"Argentinien",2019,"Agua de las misiones",0,0,0,0,0,0,0,0,0,4,243,"Amerika","AR"
"Argentinien",2019,"Felpita",0,0,0,0,0,0,0,0,0,4,243,"Amerika","AR"
"Argentinien",2019,"Amodil",0,0,0,0,0,0,0,0,0,4,243,"Amerika","AR"
"Argentinien",2019,"URSELLA",0,0,0,0,0,0,0,0,0,4,243,"Amerika","AR"
"Argentinien",2019,"Twistos",0,0,0,0,0,0,0,0,0,4,243,"Amerika","AR"
"Argentinien",2019,"GRANIX",0,0,0,0,0,0,0,0,0,4,243,"Amerika","AR"
"Argentinien",2019,"Tremblay",0,0,0,0,0,0,0,0,0,4,243,"Amerika","AR"
"Argentinien",2019,"Todo Dia",0,0,0,0,0,0,0,0,0,4,243,"Amerika","AR"
"Argentinien",2019,"TRES LEONES",0,0,0,0,0,0,0,0,0,4,243,"Amerika","AR"
"Argentinien",2019,"Sussex",0,0,0,0,0,0,0,0,0,4,243,"Amerika","AR"
"Argentinien",2019,"Kaiser",0,0,0,0,0,0,0,0,0,4,243,"Amerika","AR"
"Argentinien",2019,"GUAYMALLEN",0,0,0,0,0,0,0,0,0,4,243,"Amerika","AR"
"Australien",2019,"Woolworths Group",NA,NA,NA,NA,3,NA,NA,NA,3,1,5,"Ozeanien","AU"
"Bangladesch",2019,"Danish",0,NA,NA,16,NA,NA,NA,NA,16,1,100,"Asien","BD"
"Bangladesch",2019,"Nestlé",0,NA,NA,0,NA,NA,NA,NA,0,1,100,"Asien","BD"
