"continent","country","parent_company","plastic_type","n_pieces","total_per_country","rel_freq"
"Americas","Argentina","Dart","ps",0,2,0
"Americas","Argentina","Dart","pvc",0,2,0
"Americas","Argentina","Anheuser-Busch InBev","hdpe",0,2,0
"Americas","Argentina","Anheuser-Busch InBev","ldpe",0,2,0
"Americas","Argentina","Anheuser-Busch InBev","o",1,2,0.5
"Americas","Argentina","Anheuser-Busch InBev","pet",0,2,0
"Americas","Argentina","Anheuser-Busch InBev","pp",1,2,0.5
"Americas","Argentina","Anheuser-Busch InBev","ps",0,2,0
"Americas","Argentina","Anheuser-Busch InBev","pvc",0,2,0
"Americas","Argentina","Beiersdorf Global AG","hdpe",0,2,0
"Americas","Argentina","Beiersdorf Global AG","ldpe",0,2,0
"Americas","Argentina","Beiersdorf Global AG","o",1,2,0.5
"Americas","Argentina","Beiersdorf Global AG","pet",0,2,0
"Americas","Argentina","Beiersdorf Global AG","pp",1,2,0.5
"Americas","Argentina","Beiersdorf Global AG","ps",0,2,0
"Americas","Argentina","Beiersdorf Global AG","pvc",0,2,0
"Americas","Argentina","Benjamin","hdpe",0,1,0
"Americas","Argentina","Benjamin","ldpe",0,1,0
"Americas","Argentina","Benjamin","o",0,1,0
"Americas","Argentina","Benjamin","pet",0,1,0
"Americas","Argentina","Benjamin","pp",1,1,1
"Americas","Argentina","Benjamin","ps",0,1,0
"Americas","Argentina","Benjamin","pvc",0,1,0
"Americas","Argentina","Revigal","hdpe",1,1,1
"Americas","Argentina","Revigal","ldpe",0,1,0
"Americas","Argentina","Revigal","o",0,1,0
"Americas","Argentina","Revigal","pet",0,1,0
"Americas","Argentina","Revigal","pp",0,1,0
"Americas","Argentina","Revigal","ps",0,1,0
"Americas","Argentina","Revigal","pvc",0,1,0
"Americas","Argentina","Rinde Dos","hdpe",0,1,0
"Americas","Argentina","Rinde Dos","ldpe",0,1,0
"Americas","Argentina","Rinde Dos","o",0,1,0
"Americas","Argentina","Rinde Dos","pet",0,1,0
"Americas","Argentina","Rinde Dos","pp",1,1,1
"Americas","Argentina","Rinde Dos","ps",0,1,0
"Americas","Argentina","Rinde Dos","pvc",0,1,0
"Americas","Argentina","Rockstar","hdpe",0,1,0
"Americas","Argentina","Rockstar","ldpe",0,1,0
"Americas","Argentina","Rockstar","o",1,1,1
"Americas","Argentina","Rockstar","pet",0,1,0
"Americas","Argentina","Rockstar","pp",0,1,0
"Americas","Argentina","Rockstar","ps",0,1,0
"Americas","Argentina","Rockstar","pvc",0,1,0
"Americas","Argentina","Dunox","hdpe",1,1,1
"Americas","Argentina","Dunox","ldpe",0,1,0
"Americas","Argentina","Dunox","o",0,1,0
"Americas","Argentina","Dunox","pet",0,1,0
"Americas","Argentina","Dunox","pp",0,1,0
"Americas","Argentina","Dunox","ps",0,1,0
"Americas","Argentina","Dunox","pvc",0,1,0
"Americas","Argentina","San Cayetano","hdpe",0,1,0
"Americas","Argentina","San Cayetano","ldpe",0,1,0
"Americas","Argentina","San Cayetano","o",0,1,0
"Americas","Argentina","San Cayetano","pet",0,1,0
"Americas","Argentina","San Cayetano","pp",1,1,1
"Americas","Argentina","San Cayetano","ps",0,1,0
"Americas","Argentina","San Cayetano","pvc",0,1,0
"Americas","Argentina","Saladix - Arcor","hdpe",0,1,0
"Americas","Argentina","Saladix - Arcor","ldpe",0,1,0
"Americas","Argentina","Saladix - Arcor","o",0,1,0
"Americas","Argentina","Saladix - Arcor","pet",0,1,0
"Americas","Argentina","Saladix - Arcor","pp",1,1,1
"Americas","Argentina","Saladix - Arcor","ps",0,1,0
"Americas","Argentina","Saladix - Arcor","pvc",0,1,0
"Americas","Argentina","Recreo","hdpe",0,1,0
"Americas","Argentina","Recreo","ldpe",0,1,0
"Americas","Argentina","Recreo","o",0,1,0
"Americas","Argentina","Recreo","pet",0,1,0
"Americas","Argentina","Recreo","pp",1,1,1
"Americas","Argentina","Recreo","ps",0,1,0
"Americas","Argentina","Recreo","pvc",0,1,0
"Americas","Argentina","Savant Pharm","hdpe",1,1,1
"Americas","Argentina","Savant Pharm","ldpe",0,1,0
"Americas","Argentina","Savant Pharm","o",0,1,0
"Americas","Argentina","Savant Pharm","pet",0,1,0
"Americas","Argentina","Savant Pharm","pp",0,1,0
"Americas","Argentina","Savant Pharm","ps",0,1,0
"Americas","Argentina","Savant Pharm","pvc",0,1,0
"Americas","Argentina","Bayer","hdpe",1,1,1
"Americas","Argentina","Bayer","ldpe",0,1,0
"Americas","Argentina","Bayer","o",0,1,0
"Americas","Argentina","Bayer","pet",0,1,0
