"continent","country","parent_company","plastic_type","n_pieces"
"Americas","Argentina","Philip Morris","pvc",0
"Americas","Argentina","Canela Fina","hdpe",1
"Americas","Argentina","Canela Fina","ldpe",0
"Americas","Argentina","Canela Fina","o",0
"Americas","Argentina","Canela Fina","pet",0
"Americas","Argentina","Canela Fina","pp",0
"Americas","Argentina","Canela Fina","ps",0
"Americas","Argentina","Canela Fina","pvc",0
"Americas","Argentina","Polvorita","hdpe",0
"Americas","Argentina","Polvorita","ldpe",0
"Americas","Argentina","Polvorita","o",0
"Americas","Argentina","Polvorita","pet",0
"Americas","Argentina","Polvorita","pp",1
"Americas","Argentina","Polvorita","ps",0
